INFO 2024-07-02 18:56:08,008 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-02 18:56:08,388 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/mimetypes.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,388 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/calendar.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,389 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/messages/constants.py first seen with mtime 1719930739.268125
DEBUG 2024-07-02 18:56:08,389 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/urllib/__init__.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,389 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/utils/translation/__init__.py first seen with mtime 1719930740.319967
DEBUG 2024-07-02 18:56:08,389 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1719930739.6142497
DEBUG 2024-07-02 18:56:08,389 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,389 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/encoders.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,389 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/typing.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,390 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1719930738.241585
DEBUG 2024-07-02 18:56:08,390 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1719930739.2798824
DEBUG 2024-07-02 18:56:08,390 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1719930737.7284167
DEBUG 2024-07-02 18:56:08,390 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/core/checks/registry.py first seen with mtime 1719930740.0145526
DEBUG 2024-07-02 18:56:08,391 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/utils.py first seen with mtime 1719930743.1236453
DEBUG 2024-07-02 18:56:08,391 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/message.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,391 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/sqlparse/sql.py first seen with mtime 1719930736.0404088
DEBUG 2024-07-02 18:56:08,391 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/admin/decorators.py first seen with mtime 1719930737.1549847
DEBUG 2024-07-02 18:56:08,392 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1719930742.927572
DEBUG 2024-07-02 18:56:08,392 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1719930739.6155827
DEBUG 2024-07-02 18:56:08,392 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/signal.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,392 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/dispatch/dispatcher.py first seen with mtime 1719930740.1738675
DEBUG 2024-07-02 18:56:08,393 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/rest_framework/schemas/inspectors.py first seen with mtime 1719930742.8717341
DEBUG 2024-07-02 18:56:08,393 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/base_tasks.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,393 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/forms/models.py first seen with mtime 1719930740.179385
DEBUG 2024-07-02 18:56:08,393 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/json/encoder.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,394 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1719930737.7290812
DEBUG 2024-07-02 18:56:08,394 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/contrib/rest_polymorphic.py first seen with mtime 1719930743.1300528
DEBUG 2024-07-02 18:56:08,394 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/queues.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,394 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/auth/signals.py first seen with mtime 1719930737.9567077
DEBUG 2024-07-02 18:56:08,395 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/shortcuts.py first seen with mtime 1719930736.633879
DEBUG 2024-07-02 18:56:08,395 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/csv.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,395 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/util.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,395 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/sites/__init__.py first seen with mtime 1719930739.80329
DEBUG 2024-07-02 18:56:08,396 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/conf/urls/__init__.py first seen with mtime 1719930737.1492202
DEBUG 2024-07-02 18:56:08,396 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/auth/__init__.py first seen with mtime 1719930737.9427547
DEBUG 2024-07-02 18:56:08,396 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/sqlparse/__init__.py first seen with mtime 1719930736.0298767
DEBUG 2024-07-02 18:56:08,396 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/urls/base.py first seen with mtime 1719930740.2843964
DEBUG 2024-07-02 18:56:08,397 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/templatetags/tz.py first seen with mtime 1719930740.276494
